quantity_available,manufacturer,unit_price,product_status,product_url,standard_pricing,manufacturer_product_number,datasheet_url,Contact Type,Pitch - Mating,Number of Positions,Number of Rows,Mounting Type,Contact Length - Mating,Contact Length - Post,Insulation Height,Current Rating (Amps),Voltage Rating
3025,Amphenol ICC (FCI),0.9,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/67996-420HLF/1878553,1 in Bag for 0.9  10 in Bag for 7.63  200 in Bag for 123.43  600 in Bag for 342.648  1000 in Bag for 550.86  5000 in Bag for 2458.65  10000 in Bag for 4682.8 ,67996-420HLF,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,Male Pin,"0.100"" (2.54mm)",20,2,Through Hole,"0.230"" (5.84mm)","0.095"" (2.41mm)","0.100"" (2.54mm)",3A per Contact,-
10526,Sullins Connector Solutions,0.94,Active,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PREC040DAAN-RC/2774854,1 in Bulk for 0.94  10 in Bulk for 8.0  100 in Bulk for 67.98  500 in Bulk for 303.37  1000 in Bulk for 577.77  5000 in Bulk for 2580.5 ,PREC040DAAN-RC,https://drawings-pdf.s3.amazonaws.com/11636.pdf,Male Pin,"0.100"" (2.54mm)",80,2,Through Hole,"0.230"" (5.84mm)","0.120"" (3.05mm)","0.098"" (2.50mm)",3A per Contact,-
4520,Harwin Inc.,0.95,Active,https://www.digikey.com/en/products/detail/harwin-inc/M20-8760342R/3919926,350 in Tape & Reel (TR) for 219.0195  700 in Tape & Reel (TR) for 417.123  1050 in Tape & Reel (TR) for 608.034  1750 in Tape & Reel (TR) for 977.515  2450 in Tape & Reel (TR) for 1336.4015  3500 in Tape & Reel (TR) for 1861.72  8750 in Tape & Reel (TR) for 4363.1  17500 in Tape & Reel (TR) for 8310.05  1 in Cut Tape (CT) for 0.95  10 in Cut Tape (CT) for 8.05  100 in Cut Tape (CT) for 68.37  1 in Digi-Reel® for 0.95  10 in Digi-Reel® for 8.05  100 in Digi-Reel® for 68.37 ,M20-8760342R,https://cdn.harwin.com/pdfs/M20-876R.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Surface Mount,"0.228"" (5.80mm)",-,"0.100"" (2.54mm)",3A per Contact,250V
3108,Samtec Inc.,0.95,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSM-103-01-L-DV-P-TR/2685550,150 in Tape & Reel (TR) for 135.84  750 in Tape & Reel (TR) for 492.8325  3750 in Tape & Reel (TR) for 1945.125  7500 in Tape & Reel (TR) for 2988.0  15000 in Tape & Reel (TR) for 5287.5  1 in Cut Tape (CT) for 0.95  1 in Digi-Reel® for 0.95  1 in Bulk for 2.59 ,TSM-103-01-L-DV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Surface Mount,"0.230"" (5.84mm)",-,"0.100"" (2.54mm)",-,-
5266,Würth Elektronik,1.0,Active,https://www.digikey.com/en/products/detail/würth-elektronik/61301021121/2508441,1 in Bulk for 1.0  10 in Bulk for 9.78  50 in Bulk for 45.14  100 in Bulk for 82.71  250 in Bulk for 187.88 ,61301021121,https://www.we-online.com/katalog/datasheet/6130xx21121.pdf,Male Pin,"0.100"" (2.54mm)",10,2,Through Hole,"0.236"" (6.00mm)","0.118"" (3.00mm)","0.100"" (2.54mm)",3A,250V
25454,Sullins Connector Solutions,1.03,Active,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PRPC040DAAN-RC/2775254,1 in Bulk for 1.03  10 in Bulk for 8.75  100 in Bulk for 74.37  500 in Bulk for 331.9  1000 in Bulk for 632.1  5000 in Bulk for 2847.0 ,PRPC040DAAN-RC,https://drawings-pdf.s3.amazonaws.com/11636.pdf,Male Pin,"0.100"" (2.54mm)",80,2,Through Hole,"0.230"" (5.84mm)","0.120"" (3.05mm)","0.098"" (2.50mm)",3A per Contact,-
17692,Samtec Inc.,1.13,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSM-104-01-L-DV-P-TR/6561703,200 in Tape & Reel (TR) for 210.44  600 in Tape & Reel (TR) for 520.08  1000 in Tape & Reel (TR) for 779.3  5000 in Tape & Reel (TR) for 3081.0  10000 in Tape & Reel (TR) for 4712.0  1 in Cut Tape (CT) for 1.13  1 in Digi-Reel® for 1.13 ,TSM-104-01-L-DV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf,Male Pin,"0.100"" (2.54mm)",8,2,Surface Mount,"0.230"" (5.84mm)",-,"0.100"" (2.54mm)",-,-
3596,Amphenol ICC (FCI),1.14,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/68602-116HLF/1878523,1 in Bag for 1.14  10 in Bag for 9.72  300 in Bag for 229.341  600 in Bag for 436.782  1200 in Bag for 831.852  5100 in Bag for 3192.396  10200 in Bag for 6080.22 ,68602-116HLF,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6257/bwb_bergstik.pdf,Male Pin,"0.100"" (2.54mm)",16,2,Through Hole,"0.230"" (5.84mm)","0.150"" (3.81mm)","0.100"" (2.54mm)",3A,-
16709,TE Connectivity AMP Connectors,1.16,Active,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/87224-2/298247,1 in Bulk for 1.16  10 in Bulk for 9.82  100 in Bulk for 83.46  500 in Bulk for 372.45  1000 in Bulk for 709.34  5000 in Bulk for 3166.1  10000 in Bulk for 6030.2 ,87224-2,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=87224&DocType=Customer+Drawing&DocLang=English,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.318"" (8.08mm)","0.125"" (3.18mm)","0.090"" (2.29mm)",3A,-
5790,Amphenol ICC (FCI),1.19,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/95278-801A10LF/1535916,300 in Tape & Reel (TR) for 237.561  600 in Tape & Reel (TR) for 452.442  900 in Tape & Reel (TR) for 659.511  1500 in Tape & Reel (TR) for 1060.275  2100 in Tape & Reel (TR) for 1449.567  3000 in Tape & Reel (TR) for 2019.36  7500 in Tape & Reel (TR) for 4732.575  15000 in Tape & Reel (TR) for 9013.8  1 in Cut Tape (CT) for 1.19  10 in Cut Tape (CT) for 10.07  100 in Cut Tape (CT) for 85.58  1 in Digi-Reel® for 1.19  10 in Digi-Reel® for 10.07  100 in Digi-Reel® for 85.58 ,95278-801A10LF,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6257/bwb_bergstik.pdf,Male Pin,"0.100"" (2.54mm)",10,2,Surface Mount,"0.232"" (5.90mm)",-,"0.100"" (2.54mm)",3A per Contact,-
